sample	species	date	latitude	longitude	elevation	datum	location	collectors	population	seed	notes	meta_source	parsed_date	errors
CCA1660	Eucalyptus microcorys		-31.69166667	152.7341667	13	WGS84	South of Kew on Pacific Highway, New South Wales.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1670	Eucalyptus insulana		-17.09611111	145.5294444			Walkamin, Qld	Dean Nicolle				dp15		
CCA1676	Eucalyptus cullenii		-15.96166667	144.8319444			Lakeland, Qld	Dean Nicolle				dp15		
CCA1680	Eucalyptus dunnii		-28.39111111	152.3077778	579	WGS84	Near Legume, NSW	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA1684	Eucalyptus bancroftii		-29.90166667	153.0647222			Wells Crossing, NSW	Dean Nicolle				dp15		
CCA1692	Eucalyptus propinqua		-31.28305556	152.8136111			Telegraph Point, NSW	Dean Nicolle				dp15		
CCA2812	Angophora floribunda							Dean Nicolle				dp15		no_latlong
CCA2829	Corymbia aparrerinja							Dean Nicolle				dp15		no_latlong
CCA2857	Eucalyptus albens		-32.9175	138.1588889	383	WGS84	South of Melrose, southern Flinders Ranges, SA	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA2909	Corymbia eremaea subsp. eremaea		-27.46611111	130.4941667	499	WGS84	Near Iltur Outstation, Great Victoria Desert, South Australia	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA2917	Eucalyptus cajuputea						Iron Duchess, about 500m E of summit, Middleback Ranges, Eyre Peninsula, SA	Dean Nicolle				dp15		no_latlong
CCA2961	Eucalyptus fasciculosa		-36.28166667	139.7319444			Salt Creek, SA	Dean Nicolle				dp15		
CCA2978	Eucalyptus tricarpa		-38.45361111	144.11			Aireys Inlet, Vic	Dean Nicolle				dp15		
CCA3005	Eucalyptus ovata subsp. ovata		-37.78638889	148.7319444	25	WGS84	Between Cabbage Tree Creek and Cape Conran, near Orbost, Victoria	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA3011	Corymbia maculata		-36.28166667	150.1247222	18	WGS84	Near Narooma, New South Wales.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA3012	Corymbia maculata		-36.28166667	150.1247222	18	WGS84	Near Narooma, New South Wales.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA3035	Eucalyptus sieberi						SE base of Mt. Imlay, on walking track to summit, NSW	Dean Nicolle				dp15		no_latlong
CCA3041	Eucalyptus bosistoana		-37.87777778	147.8541667	15	WGS84	Near Metung, Vic	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA3051	Eucalyptus strzeleckii		-38.73583333	143.2513889	83	WGS84	Great Ocean Rd, between Gellibrand River crossing and Moonlight Head Road, Otway Ranges, Victoria.	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA3053	Eucalyptus polyanthemos subsp. vestita		-37.70138889	148.3283333			Orbost, Vic	Dean Nicolle				dp15		
CCA3062	Eucalyptus muelleriana		-36.06611111	149.9133333	308	WGS84	West of Bodalla, NSW	Dean Nicolle			elevation computed from api.geonames.org/astergdem	dp15		
CCA3065	Eucalyptus baueriana		-37.87777778	147.8541667			Metung, Vic	Dean Nicolle				dp15		
CCA3074	Eucalyptus parramattensis subsp. parramattensis		-34.21722222	150.5502778			Thirlmere, NSW	Dean Nicolle				dp15		
CCA3085	Eucalyptus beyeriana		-34.3125	150.5875			Bargo, NSW	Dean Nicolle				dp15		
